,Variable,Log Coefficient,No Abs Log Coefficient
0,city_Wake_Forest,0.915316217949188,-0.915316217949188
1,review_pca_10,1.273229761927241,-1.273229761927241
2,review_pca_41,1.0860680395837485,1.0860680395837485
3,review_pca_82,1.222017400500148,1.222017400500148
4,city_Garner,1.2211747892337517,1.2211747892337517
5,review_pca_160,0.8470177171196588,0.8470177171196588
6,review_pca_151,1.0630063522613167,1.0630063522613167
7,city_Cary,0.5881382294386427,0.5881382294386427
8,review_pca_312,1.010745872569679,-1.010745872569679
9,review_pca_49,0.37676251181856174,-0.37676251181856174
10,review_pca_290,0.9048829732570783,0.9048829732570783
11,review_pca_237,0.7017048851244205,0.7017048851244205
12,review_pca_240,0.9160118025215869,0.9160118025215869
13,review_pca_112,0.7403035518909331,0.7403035518909331
14,review_pca_271,1.0750590816070258,-1.0750590816070258
15,review_pca_64,1.1731595648240642,1.1731595648240642
16,review_pca_179,1.0566610801909033,1.0566610801909033
17,review_pca_131,0.6887506788543482,0.6887506788543482
18,review_pca_163,0.7986484169079278,0.7986484169079278
19,review_pca_118,0.6682749051244402,0.6682749051244402
20,review_pca_297,0.7481523454707485,0.7481523454707485
21,review_pca_190,0.7771963965926871,0.7771963965926871
22,review_pca_229,0.5375295334401864,0.5375295334401864
23,review_pca_336,0.8832986916771635,0.8832986916771635
24,review_pca_225,1.0368381442123173,-1.0368381442123173
25,review_pca_108,0.3673918125289604,0.3673918125289604
26,review_pca_323,0.20554484432926176,0.20554484432926176
27,review_pca_203,0.4280200773271525,-0.4280200773271525
28,review_pca_37,0.6036299579855213,0.6036299579855213
29,review_pca_247,0.4338570296200368,0.4338570296200368
30,review_pca_307,0.636597112070534,-0.636597112070534
31,review_pca_294,0.44454560069225385,0.44454560069225385
32,review_pca_255,0.7382705457604789,-0.7382705457604789
33,review_pca_341,0.5818213189078437,-0.5818213189078437
34,review_pca_133,0.23551058075499337,-0.23551058075499337
35,review_pca_202,0.6410397880077625,-0.6410397880077625
36,review_pca_156,0.13792794625030316,-0.13792794625030316
37,city_Rolesville,0.3532431949909523,0.3532431949909523
38,review_pca_152,1.1724328202079812,1.1724328202079812
39,review_pca_119,0.8088344511181754,0.8088344511181754
40,review_pca_253,0.4443923446902152,-0.4443923446902152
41,review_pca_141,0.45062267803748873,0.45062267803748873
42,review_pca_177,0.566108886098588,-0.566108886098588
43,review_pca_256,0.6147393884514184,-0.6147393884514184
44,review_pca_155,0.25534519813754936,0.25534519813754936
45,review_pca_316,0.3286284071216246,0.3286284071216246
46,review_pca_317,0.29229753148820464,0.29229753148820464
47,city_Angier,0.09003739132478826,0.09003739132478826
48,city_Durham,0.036720244869996935,0.036720244869996935
49,review_pca_328,0.0016636705327770338,-0.0016636705327770338
50,review_pca_266,0.13556936623940224,0.13556936623940224
51,review_pca_219,0.03437993106517307,-0.03437993106517307
52,city_West_Cary,0.11718539625510367,0.11718539625510367
53,review_pca_264,0.03218002262438507,0.03218002262438507
54,review_pca_243,0.059265329452313956,0.059265329452313956
55,review_pca_259,0.2889423037798948,-0.2889423037798948
56,review_pca_333,0.03219681383213261,0.03219681383213261
57,review_pca_314,0.06936404144387254,0.06936404144387254
58,review_pca_311,0.138195015243046,0.138195015243046
59,review_pca_157,0.22771944031396948,-0.22771944031396948
60,review_pca_303,0.13177164957704351,0.13177164957704351
61,review_pca_230,0.20486256604763659,-0.20486256604763659
62,review_pca_322,0.369233803292524,-0.369233803292524
63,review_pca_279,0.07804215219631158,0.07804215219631158
64,review_pca_339,0.1345965299663965,-0.1345965299663965
65,review_pca_301,0.2168771888234599,-0.2168771888234599
66,review_pca_304,0.24295487245704198,-0.24295487245704198
67,review_pca_299,0.3920916831510694,0.3920916831510694
68,city_Zebulon,0.5331451542211743,-0.5331451542211743
69,review_pca_287,0.24051772665511637,-0.24051772665511637
70,review_pca_245,0.0684256370127148,0.0684256370127148
71,review_pca_233,0.24188592212622267,-0.24188592212622267
72,review_pca_298,0.7340169435687399,0.7340169435687399
73,review_pca_193,0.3479086803482195,-0.3479086803482195
74,review_pca_296,0.04987471306858002,-0.04987471306858002
75,review_pca_239,0.2119246007037391,-0.2119246007037391
76,review_pca_250,0.2128073344374779,0.2128073344374779
77,review_pca_268,0.4138689790993898,0.4138689790993898
78,review_pca_305,0.12718601195304105,0.12718601195304105
79,review_pca_244,0.2804089316080531,0.2804089316080531
80,review_pca_327,0.049827895681781795,-0.049827895681781795
81,review_pca_313,0.059146041518149395,0.059146041518149395
82,review_pca_337,0.3582752226652966,-0.3582752226652966
83,review_pca_275,0.41893142552960433,0.41893142552960433
84,review_pca_300,0.4045885941284177,-0.4045885941284177
85,review_pca_192,0.2107735952773546,0.2107735952773546
86,review_pca_258,0.9268555472660546,0.9268555472660546
87,review_pca_236,0.7910678769067421,-0.7910678769067421
88,review_pca_281,0.35700963367573235,-0.35700963367573235
89,review_pca_158,0.114439049629,0.114439049629
90,review_pca_246,0.11160532612318855,0.11160532612318855
91,review_pca_315,0.12560853218540724,-0.12560853218540724
92,review_pca_283,0.66048378113107,-0.66048378113107
93,review_pca_321,0.2605579964516145,-0.2605579964516145
94,review_pca_101,0.5376007631414875,-0.5376007631414875
95,review_pca_342,0.4204202000912622,-0.4204202000912622
96,review_pca_334,0.23568948907066847,0.23568948907066847
97,review_pca_249,0.48622868581924494,0.48622868581924494
98,review_pca_235,0.5329340988789255,-0.5329340988789255
99,review_pca_90,0.7327656740514557,-0.7327656740514557
100,review_pca_92,0.8230531037234876,0.8230531037234876
101,review_pca_320,0.3735643561516238,0.3735643561516238
102,review_pca_293,0.8887489621540241,0.8887489621540241
103,review_pca_183,0.3667147239905209,0.3667147239905209
104,review_pca_140,0.42309684664025,-0.42309684664025
105,review_pca_263,0.1610136392954853,0.1610136392954853
106,review_pca_340,0.3096212599626594,-0.3096212599626594
107,review_pca_228,0.074873411197851,-0.074873411197851
108,review_pca_205,0.46715189990766465,0.46715189990766465
109,review_pca_91,0.524301618758584,0.524301618758584
110,review_pca_231,0.7387887260541636,0.7387887260541636
111,review_pca_262,0.7367443056313956,-0.7367443056313956
112,review_pca_267,0.022489453487071362,0.022489453487071362
113,review_pca_149,0.17978731661331343,-0.17978731661331343
114,review_pca_213,0.6377840400962073,0.6377840400962073
115,review_pca_324,0.36593079013447155,-0.36593079013447155
116,review_pca_302,0.46819600739811534,0.46819600739811534
117,review_pca_204,0.1448181608491561,-0.1448181608491561
118,review_pca_198,0.10806826379975973,-0.10806826379975973
119,review_pca_209,0.3217670381415187,0.3217670381415187
120,review_pca_167,0.35173793850862395,0.35173793850862395
121,review_pca_269,0.6054429116292303,-0.6054429116292303
122,review_pca_331,0.014457252617435716,0.014457252617435716
123,review_pca_241,0.18298092824947962,0.18298092824947962
124,review_pca_309,0.05513181565703028,0.05513181565703028
125,review_pca_182,0.1948137633732446,-0.1948137633732446
126,review_pca_289,0.09545290306352543,0.09545290306352543
127,review_pca_332,0.17848208222330034,0.17848208222330034
128,review_pca_272,0.31669490090827257,0.31669490090827257
129,review_pca_211,0.0698521205565309,0.0698521205565309
130,review_pca_335,0.2275790520691746,-0.2275790520691746
131,review_pca_326,0.29649778220638534,0.29649778220638534
132,review_pca_277,0.7790241564067295,0.7790241564067295
133,review_pca_169,0.6212332210575717,0.6212332210575717
134,review_pca_68,0.9133173562929673,-0.9133173562929673
135,city_Apex,0.7742925200877254,-0.7742925200877254
136,review_pca_31,1.5507141613279372,1.5507141613279372
137,review_pca_32,1.1014171132122208,-1.1014171132122208
138,review_pca_98,0.8411180100825625,-0.8411180100825625
139,review_pca_128,1.0144202176475126,1.0144202176475126
140,review_pca_45,0.9679664184406248,0.9679664184406248
141,review_pca_138,0.4873301587581057,0.4873301587581057
142,review_pca_185,0.5713916520246475,-0.5713916520246475
143,review_pca_135,0.3785224963318971,-0.3785224963318971
144,review_pca_109,0.7715303777022644,-0.7715303777022644
145,review_pca_251,0.37162325315029354,-0.37162325315029354
146,review_pca_212,0.4006107852603562,-0.4006107852603562
147,review_pca_84,0.3275064312350227,-0.3275064312350227
